AddressLine1,Birth Date,Color,Commute Distance,Date First Purchase,English Description,English Education,English Occupation,English Product Name,English Promotion Category,English Promotion Name,English Promotion Type,Marital Status,Model Name,OrderDate,Product Alternate Key,Product Line,Product Subcategory Key,ProductKey,ShipDate,Size,Size Range,Size Unit Measure Code,Spanish Education,Spanish Occupation,Spanish Product Name,Spanish Promotion Category,Spanish Promotion Name,Spanish Promotion Type,Start Date,StartDate (DimPromotion),Days To Manufacture,Dealer Price,Discount Pct,DiscountAmount,ExtendedAmount,Freight,List Price,Max Qty,Min Qty,Number Cars Owned,Number Children At Home,Número de registros,OrderQuantity,ProductStandardCost,Reorder Point,Safety Stock Level,SalesAmount,SalesOrderLineNumber,Standard Cost,TaxAmt,Total Children,TotalProductCost,UnitPrice,UnitPriceDiscountPct,Weight,Yearly Income
6183 Pinecrest Rd.,12/09/1959,Silver,10+ Miles,11/12/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,High School,Professional,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,15/12/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,22/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Educación secundaria,Profesional,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,2,5,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,4,1265.6195,2319.99,0,23.35,130000
5077 Bannock Ct.,3/09/1979,Blue,0-1 Miles,21/12/2011,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,Bachelors,Clerical,Touring-2000 Blue  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Touring-2000,12/12/2013 12:00:00 a.m.,BK-T44U-46,T,3,577,19/12/2013 12:00:00 a.m.,46,42-46 CM,CM,Licenciatura,Administrativo,Paseo: 2000  azul  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,728.910,0.02,0,1214.8500,30.3713,1214.8500,14,11,0,0,1,1,755.1508,75,100,1214.85,1,755.1508,97.1880,0,755.1508,1214.85,0,27.13,40000
1948 O Avenue,23/02/1981,Silver,0-1 Miles,24/12/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Graduate Degree,Clerical,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,22/12/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,29/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Estudios de postgrado,Administrativo,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,23.35,40000
7246 Gloria Terr.,21/04/1972,Silver,0-1 Miles,10/01/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,High School,Manual,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,2/03/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,9/03/2013 12:00:00 a.m.,38,38-40 CM,CM,Educación secundaria,Obrero,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,2,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,2,1265.6195,2319.99,0,23.35,20000
1538 Golden Meadow,6/08/1982,Silver,0-1 Miles,18/01/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Clerical,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,18/03/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,25/03/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios universitarios (en curso),Administrativo,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,1,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,24.13,30000
1817 Hilltop Rd,5/03/1977,Silver,1-2 Miles,18/01/2012,This bike delivers a high-level of performance on a budget. It is responsive and maneuverable  and offers peace-of-mind when you decide to go off-road.,Partial High School,Manual,Mountain-400-W Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-400-W,21/07/2013 12:00:00 a.m.,BK-M38S-46,M,1,590,28/07/2013 12:00:00 a.m.,46,42-46 CM,CM,Educación secundaria (en curso),Obrero,Montaña: 400 para mujer  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,461.694,0.02,0,769.4900,19.2373,769.4900,14,11,2,0,1,1,419.7784,75,100,769.49,1,419.7784,61.5592,0,419.7784,769.49,0,27.42,20000
2423 Brookview Dr.,9/12/1984,NA,1-2 Miles,30/01/2012,Includes 8 different size patches  glue and sandpaper.,Partial High School,Manual,Patch Kit/8 Patches,Reseller,Volume Discount 11 to 14,Volume Discount,S,Patch kit,19/09/2013 12:00:00 a.m.,PK-7098,S,37,480,26/09/2013 12:00:00 a.m.,,NA,,Educación secundaria (en curso),Obrero,,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,0,1.374,0.02,0,2.2900,0.0573,2.2900,14,11,2,0,1,1,0.8565,3,4,2.29,5,0.8565,0.1832,0,0.8565,2.29,0,,20000
5717 Monterey Ave,20/05/1981,Silver,1-2 Miles,22/02/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Skilled Manual,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,13/04/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,20/04/2013 12:00:00 a.m.,38,38-40 CM,CM,Licenciatura,Obrero especializado,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,1,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,1,1265.6195,2319.99,0,23.35,40000
5399 Red Maple Ct.,6/12/1982,Silver,0-1 Miles,23/02/2012,This bike delivers a high-level of performance on a budget. It is responsive and maneuverable  and offers peace-of-mind when you decide to go off-road.,Partial College,Clerical,Mountain-400-W Silver  40,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-400-W,2/09/2013 12:00:00 a.m.,BK-M38S-40,M,1,588,9/09/2013 12:00:00 a.m.,40,38-40 CM,CM,Estudios universitarios (en curso),Administrativo,Montaña: 400 para mujer  plateada  40,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,461.694,0.02,0,769.4900,19.2373,769.4900,14,11,1,0,1,1,419.7784,75,100,769.49,1,419.7784,61.5592,0,419.7784,769.49,0,26.77,30000
4264 Oak Creek Ct.,15/03/1986,Silver,0-1 Miles,27/02/2012,This bike delivers a high-level of performance on a budget. It is responsive and maneuverable  and offers peace-of-mind when you decide to go off-road.,Bachelors,Skilled Manual,Mountain-400-W Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-400-W,9/02/2013 12:00:00 a.m.,BK-M38S-46,M,1,590,16/02/2013 12:00:00 a.m.,46,42-46 CM,CM,Licenciatura,Obrero especializado,Montaña: 400 para mujer  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,461.694,0.02,0,769.4900,19.2373,769.4900,14,11,0,1,1,1,419.7784,75,100,769.49,1,419.7784,61.5592,1,419.7784,769.49,0,27.42,40000
9353 Kirkwood Dr.,8/05/1981,Silver,1-2 Miles,7/03/2012,This bike delivers a high-level of performance on a budget. It is responsive and maneuverable  and offers peace-of-mind when you decide to go off-road.,Bachelors,Skilled Manual,Mountain-400-W Silver  40,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-400-W,11/05/2013 12:00:00 a.m.,BK-M38S-40,M,1,588,18/05/2013 12:00:00 a.m.,40,38-40 CM,CM,Licenciatura,Obrero especializado,Montaña: 400 para mujer  plateada  40,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,461.694,0.02,0,769.4900,19.2373,769.4900,14,11,0,1,1,1,419.7784,75,100,769.49,1,419.7784,61.5592,1,419.7784,769.49,0,26.77,40000
1374 Wightman Lane,24/03/1984,Silver,0-1 Miles,15/03/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Graduate Degree,Manual,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,8/04/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,15/04/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios de postgrado,Obrero,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,24.13,10000
1088 Ash Lane,24/09/1968,Silver,0-1 Miles,19/03/2012,This bike delivers a high-level of performance on a budget. It is responsive and maneuverable  and offers peace-of-mind when you decide to go off-road.,High School,Manual,Mountain-400-W Silver  40,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-400-W,5/10/2013 12:00:00 a.m.,BK-M38S-40,M,1,588,12/10/2013 12:00:00 a.m.,40,38-40 CM,CM,Educación secundaria,Obrero,Montaña: 400 para mujer  plateada  40,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,461.694,0.02,0,769.4900,19.2373,769.4900,14,11,1,4,1,1,419.7784,75,100,769.49,1,419.7784,61.5592,4,419.7784,769.49,0,26.77,20000
240 Crowm Court,2/06/1949,Black,0-1 Miles,29/03/2012,Alluminum-alloy frame provides a light  stiff ride  whether you are racing in the velodrome or on a demanding club ride on country roads.,Graduate Degree,Clerical,Road-250 Black  44,Reseller,Volume Discount 11 to 14,Volume Discount,M,Road-250,10/07/2013 12:00:00 a.m.,BK-R89B-44,R,2,374,17/07/2013 12:00:00 a.m.,44,42-46 CM,CM,Estudios de postgrado,Administrativo,Carretera: 250  negra  44,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1466.010,0.02,0,2443.3500,61.0838,2443.3500,14,11,0,0,1,1,1554.9479,75,100,2443.35,1,1554.9479,195.4680,1,1554.9479,2443.35,0,14.77,40000
9215 Hamilton Ave.,6/08/1980,Blue,2-5 Miles,30/03/2012,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,Partial College,Manual,Touring-2000 Blue  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Touring-2000,29/01/2013 12:00:00 a.m.,BK-T44U-46,T,3,577,5/02/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios universitarios (en curso),Obrero,Paseo: 2000  azul  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,728.910,0.02,0,1214.8500,30.3713,1214.8500,14,11,1,0,1,1,755.1508,75,100,1214.85,2,755.1508,97.1880,0,755.1508,1214.85,0,27.13,20000
3249 Riverside Drive,28/09/1980,Blue,0-1 Miles,6/04/2012,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,Bachelors,Clerical,Touring-2000 Blue  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Touring-2000,9/03/2013 12:00:00 a.m.,BK-T44U-46,T,3,577,16/03/2013 12:00:00 a.m.,46,42-46 CM,CM,Licenciatura,Administrativo,Paseo: 2000  azul  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,728.910,0.02,0,1214.8500,30.3713,1214.8500,14,11,0,0,1,1,755.1508,75,100,1214.85,2,755.1508,97.1880,0,755.1508,1214.85,0,27.13,30000
4698 Royal Oak Rd.,20/10/1974,Blue,0-1 Miles,14/04/2012,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,High School,Manual,Touring-2000 Blue  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Touring-2000,12/02/2013 12:00:00 a.m.,BK-T44U-46,T,3,577,19/02/2013 12:00:00 a.m.,46,42-46 CM,CM,Educación secundaria,Obrero,Paseo: 2000  azul  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,728.910,0.02,0,1214.8500,30.3713,1214.8500,14,11,0,2,1,1,755.1508,75,100,1214.85,1,755.1508,97.1880,2,755.1508,1214.85,0,27.13,10000
4909 Vine Lane,3/01/1981,Silver,0-1 Miles,24/04/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Graduate Degree,Clerical,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,7/04/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,14/04/2013 12:00:00 a.m.,38,38-40 CM,CM,Estudios de postgrado,Administrativo,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,23.35,40000
5598 Mt. Palomar Pl.,1/10/1958,Silver,10+ Miles,30/04/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Professional,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,19/08/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,26/08/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios universitarios (en curso),Profesional,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,2,5,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,4,1265.6195,2319.99,0,24.13,130000
5627 Tanager Road,18/07/1973,NA,0-1 Miles,5/05/2012,Includes 8 different size patches  glue and sandpaper.,Bachelors,Clerical,Patch Kit/8 Patches,Reseller,Volume Discount 11 to 14,Volume Discount,M,Patch kit,5/11/2013 12:00:00 a.m.,PK-7098,S,37,480,12/11/2013 12:00:00 a.m.,,NA,,Licenciatura,Administrativo,,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,0,1.374,0.02,0,2.2900,0.0573,2.2900,14,11,0,0,1,1,0.8565,3,4,2.29,3,0.8565,0.1832,0,0.8565,2.29,0,,40000
2269 Clear St.,24/04/1967,White,5-10 Miles,7/05/2012,Thin  lightweight and durable with cuffs that stay up.,High School,Professional,Racing Socks  M,Reseller,Volume Discount 11 to 14,Volume Discount,M,Racing Socks,4/10/2013 12:00:00 a.m.,SO-R809-M,R,23,481,11/10/2013 12:00:00 a.m.,M,M,,Educación secundaria,Profesional,Calcetines para carreras  M,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,0,5.394,0.02,0,8.9900,0.2248,8.9900,14,11,2,4,1,1,3.3623,3,4,8.99,2,3.3623,0.7192,2,3.3623,8.99,0,,160000
6093 Midway Ct.,16/09/1984,Silver,0-1 Miles,20/05/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,High School,Manual,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,22/05/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,29/05/2013 12:00:00 a.m.,38,38-40 CM,CM,Educación secundaria,Obrero,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,1,2,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,2,1265.6195,2319.99,0,23.35,10000
2153 Cloudview Dr.,4/09/1979,Blue,2-5 Miles,4/06/2012,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,High School,Manual,Touring-2000 Blue  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Touring-2000,19/05/2013 12:00:00 a.m.,BK-T44U-46,T,3,577,26/05/2013 12:00:00 a.m.,46,42-46 CM,CM,Educación secundaria,Obrero,Paseo: 2000  azul  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,728.910,0.02,0,1214.8500,30.3713,1214.8500,14,11,1,0,1,1,755.1508,75,100,1214.85,2,755.1508,97.1880,0,755.1508,1214.85,0,27.13,30000
8781 Valley Crest Drive,20/03/1958,Silver,0-1 Miles,6/06/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,High School,Professional,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,6/09/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,13/09/2013 12:00:00 a.m.,38,38-40 CM,CM,Educación secundaria,Profesional,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,3,5,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,4,1265.6195,2319.99,0,23.35,130000
8781 Valley Crest Drive,20/03/1958,White,0-1 Miles,6/06/2012,Thin  lightweight and durable with cuffs that stay up.,High School,Professional,Racing Socks  M,Reseller,Volume Discount 11 to 14,Volume Discount,M,Racing Socks,31/10/2013 12:00:00 a.m.,SO-R809-M,R,23,481,7/11/2013 12:00:00 a.m.,M,M,,Educación secundaria,Profesional,Calcetines para carreras  M,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,0,5.394,0.02,0,8.9900,0.2248,8.9900,14,11,3,5,1,1,3.3623,3,4,8.99,1,3.3623,0.7192,4,3.3623,8.99,0,,130000
8196 Alexander Pl,1/12/1927,Silver,0-1 Miles,7/06/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Professional,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,15/12/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,22/12/2013 12:00:00 a.m.,38,38-40 CM,CM,Licenciatura,Profesional,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,23.35,130000
181 Buena Vista,31/10/1958,Silver,10+ Miles,11/06/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Management,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,8/03/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,15/03/2013 12:00:00 a.m.,46,42-46 CM,CM,Licenciatura,Gestión,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,3,5,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,24.13,170000
4865 Rivewview,19/03/1959,Silver,10+ Miles,26/06/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Professional,Mountain-200 Silver  38,Reseller,Volume Discount 11 to 14,Volume Discount,M,Mountain-200,14/03/2013 12:00:00 a.m.,BK-M68S-38,M,1,353,21/03/2013 12:00:00 a.m.,38,38-40 CM,CM,Estudios universitarios (en curso),Profesional,Montaña: 200  plateada  38,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,2,5,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,4,1265.6195,2319.99,0,23.35,130000
9199 Park Glenn,8/11/1983,Silver,1-2 Miles,28/06/2012,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial High School,Manual,Mountain-200 Silver  46,Reseller,Volume Discount 11 to 14,Volume Discount,S,Mountain-200,6/06/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,13/06/2013 12:00:00 a.m.,46,42-46 CM,CM,Educación secundaria (en curso),Obrero,Montaña: 200  plateada  46,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1391.994,0.02,0,2319.9900,57.9998,2319.9900,14,11,2,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,24.13,20000
7398 Winter Lane,30/06/1945,Blue,0-1 Miles,15/07/2012,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,Bachelors,Clerical,Touring-2000 Blue  60,Reseller,Volume Discount 11 to 14,Volume Discount,M,Touring-2000,17/08/2013 12:00:00 a.m.,BK-T44U-60,T,3,560,24/08/2013 12:00:00 a.m.,60,60-62 CM,CM,Licenciatura,Administrativo,Paseo: 2000  azul  60,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,728.910,0.02,0,1214.8500,30.3713,1214.8500,14,11,0,0,1,1,755.1508,75,100,1214.85,1,755.1508,97.1880,1,755.1508,1214.85,0,27.90,20000
9830 May Way,23/04/1981,Black,1-2 Miles,16/07/2012,Alluminum-alloy frame provides a light  stiff ride  whether you are racing in the velodrome or on a demanding club ride on country roads.,Bachelors,Skilled Manual,Road-250 Black  44,Reseller,Volume Discount 11 to 14,Volume Discount,M,Road-250,20/01/2013 12:00:00 a.m.,BK-R89B-44,R,2,374,27/01/2013 12:00:00 a.m.,44,42-46 CM,CM,Licenciatura,Obrero especializado,Carretera: 250  negra  44,Distribuidor,Descuento por volumen (entre 11 y 14),Descuento por volumen,1/07/2013 12:00:00 a.m.,29/12/2010 12:00:00 a.m.,4,1466.010,0.02,0,2443.3500,61.0838,2443.3500,14,11,0,1,1,1,1554.9479,75,100,2443.35,1,1554.9479,195.4680,1,1554.9479,2443.35,0,14.77,40000
